Modality,Annotation Size,PSNR_loss
unet_shuffle_inception_no_progressive,217.25,
unet_shuffle_inception_no_progressive,215.75,
unet_shuffle_inception_no_progressive,206.5,
unet_shuffle_inception_no_progressive,186.75,
unet_shuffle_inception_no_progressive,162.25,
unet_shuffle_inception_no_progressive,146.75,
unet_shuffle_inception_no_progressive,130.75,
unet_shuffle_inception_no_progressive,33.0,
unet_shuffle_inception_no_progressive,18.25,
unet_shuffle_inception_no_progressive,160.0,
unet_shuffle_inception_no_progressive,190.0,
unet_shuffle_inception_no_progressive,245.0,
unet_shuffle_inception_no_progressive,181.0,
unet_shuffle_inception_no_progressive,210.5,
unet_shuffle_inception_no_progressive,185.0,
unet_shuffle_inception_no_progressive,135.5,
unet_shuffle_inception_no_progressive,166.5,
unet_shuffle_inception_no_progressive,176.75,
unet_shuffle_inception_no_progressive,136.75,
unet_shuffle_inception_no_progressive,116.5,
unet_shuffle_inception_no_progressive,89.25,
unet_shuffle_inception_no_progressive,52.5,
unet_shuffle_inception_no_progressive,40.5,
unet_shuffle_inception_no_progressive,78.0,
unet_shuffle_inception_no_progressive,112.0,
unet_shuffle_inception_no_progressive,122.0,
unet_shuffle_inception_no_progressive,134.0,
unet_shuffle_inception_no_progressive,150.0,
unet_shuffle_inception_no_progressive,180.0,
unet_shuffle_inception_no_progressive,186.0,
unet_shuffle_inception_no_progressive,202.0,
unet_shuffle_inception_no_progressive,194.0,
unet_shuffle_inception_no_progressive,214.0,
unet_shuffle_inception_no_progressive,54.5,
unet_shuffle_inception_no_progressive,69.25,
unet_shuffle_inception_no_progressive,83.25,
unet_shuffle_inception_no_progressive,69.0,
unet_shuffle_inception_no_progressive,38.0,
unet_shuffle_inception_no_progressive,54.0,
unet_shuffle_inception_no_progressive,95.5,
unet_shuffle_inception_no_progressive,161.0,
unet_shuffle_inception_no_progressive,314.5,
unet_shuffle_inception_no_progressive,351.0,
unet_shuffle_inception_no_progressive,389.75,
unet_shuffle_inception_no_progressive,247.714285714,
unet_shuffle_inception_no_progressive,240.75,
unet_shuffle_inception_no_progressive,237.555555556,
unet_shuffle_inception_no_progressive,242.1,
unet_shuffle_inception_no_progressive,304.181818182,
unet_shuffle_inception_no_progressive,297.909090909,
unet_shuffle_inception_no_progressive,355.727272727,
unet_shuffle_inception_no_progressive,311.636363636,
unet_shuffle_inception_no_progressive,284.181818182,
unet_shuffle_inception_no_progressive,219.272727273,
unet_shuffle_inception_no_progressive,143.363636364,
unet_shuffle_inception_no_progressive,127.285714286,
unet_shuffle_inception_no_progressive,67.4285714286,
unet_shuffle_inception_no_progressive,58.5714285714,
unet_shuffle_inception_no_progressive,88.5,
unet_shuffle_inception_no_progressive,35.0,
unet_shuffle_inception_no_progressive,10.0,
unet_shuffle_inception_no_progressive,51.5,
unet_shuffle_inception_no_progressive,86.0,
unet_shuffle_inception_no_progressive,83.0,
unet_shuffle_inception_no_progressive,82.0,
unet_shuffle_inception_no_progressive,57.0,
unet_shuffle_inception_no_progressive,15.0,
unet_shuffle_inception_no_progressive,20.0,
unet_shuffle_inception_no_progressive,22.0,
unet_shuffle_inception_no_progressive,49.3333333333,
unet_shuffle_inception_no_progressive,61.2,
unet_shuffle_inception_no_progressive,48.0,
unet_shuffle_inception_no_progressive,44.3333333333,
unet_shuffle_inception_no_progressive,130.0,
unet_shuffle_inception_no_progressive,195.0,
unet_shuffle_inception_no_progressive,275.0,
unet_shuffle_inception_no_progressive,249.0,
unet_shuffle_inception_no_progressive,57.25,
unet_shuffle_inception_no_progressive,179.0,
unet_shuffle_inception_no_progressive,194.5,
unet_shuffle_inception_no_progressive,4.0,
unet_shuffle_inception_no_progressive,11.0,
unet_shuffle_inception_no_progressive,31.0,
unet_shuffle_inception_no_progressive,55.6666666667,
unet_shuffle_inception_no_progressive,76.6666666667,
unet_shuffle_inception_no_progressive,95.3333333333,
unet_shuffle_inception_no_progressive,94.5,
unet_shuffle_inception_no_progressive,80.5,
unet_shuffle_inception_no_progressive,69.5,
unet_shuffle_inception_no_progressive,53.0,
unet_shuffle_inception_no_progressive,41.5,
unet_shuffle_inception_no_progressive,24.5,
unet_shuffle_inception_no_progressive,49.5,
unet_shuffle_inception_no_progressive,53.5,
unet_shuffle_inception_no_progressive,87.0,
unet_shuffle_inception_no_progressive,2.0,
unet_shuffle_inception_no_progressive,3.0,
unet_shuffle_inception_no_progressive,9.0,
unet_shuffle_inception_no_progressive,92.0,
unet_shuffle_inception_no_progressive,88.0,
unet_shuffle_inception_no_progressive,116.0,
unet_shuffle_inception_no_progressive,64.0,
unet_shuffle_inception_no_progressive,37.0,
unet_shuffle_inception_no_progressive,25.0,
unet_shuffle_inception_no_progressive,8.0,
unet_shuffle_inception_no_progressive,220.25,
unet_shuffle_inception_no_progressive,434.5,
unet_shuffle_inception_no_progressive,464.25,
