Modality,Annotation Size,BCE_loss
unet_shuffle_inception_no_progressive,249.0,0.0287622702308
unet_shuffle_inception_no_progressive,57.25,0.000657241558656
unet_shuffle_inception_no_progressive,179.0,0.00206933962181
unet_shuffle_inception_no_progressive,194.5,0.0020050150924355
unet_shuffle_inception_no_progressive,4.0,0.0002835160144058875
unet_shuffle_inception_no_progressive,11.0,0.0008754591690377141
unet_shuffle_inception_no_progressive,31.0,0.0018835534089406668
unet_shuffle_inception_no_progressive,55.6666666667,0.00278875837103
unet_shuffle_inception_no_progressive,76.6666666667,0.00456111226231
unet_shuffle_inception_no_progressive,95.3333333333,0.00438606506214
unet_shuffle_inception_no_progressive,94.5,0.00441946554929
unet_shuffle_inception_no_progressive,80.5,0.0022969437995949997
unet_shuffle_inception_no_progressive,69.5,0.00300935492851
unet_shuffle_inception_no_progressive,53.0,0.00407613630523
unet_shuffle_inception_no_progressive,41.5,0.002181722666135
unet_shuffle_inception_no_progressive,24.5,0.000247171476076
unet_shuffle_inception_no_progressive,49.5,0.004101757891475001
unet_shuffle_inception_no_progressive,53.5,0.00270208029542
unet_shuffle_inception_no_progressive,87.0,0.003392942443800333
unet_shuffle_inception_no_progressive,2.0,0.00010502647273845
unet_shuffle_inception_no_progressive,3.0,0.0001680159402895
unet_shuffle_inception_no_progressive,9.0,0.0007009333407041999
unet_shuffle_inception_no_progressive,92.0,0.004592074197715
unet_shuffle_inception_no_progressive,88.0,0.00481286086142
unet_shuffle_inception_no_progressive,116.0,0.004164078971371334
unet_shuffle_inception_no_progressive,64.0,0.005438982683697501
unet_shuffle_inception_no_progressive,37.0,0.0025566928573723335
unet_shuffle_inception_no_progressive,25.0,0.0022032203851255453
unet_shuffle_inception_no_progressive,8.0,0.0019122740694581428
unet_shuffle_inception_no_progressive,220.25,0.0172452665865
unet_shuffle_inception_no_progressive,434.5,0.0261925943196
unet_shuffle_inception_no_progressive,464.25,0.0218906942755
unet_shuffle_inception_no_progressive,356.5,0.0101106539369
unet_shuffle_inception_no_progressive,132.25,0.000220668734983
unet_shuffle_inception_no_progressive,86.5,0.00530175631866
unet_shuffle_inception_no_progressive,119.0,0.0057102772407249995
unet_shuffle_inception_no_progressive,112.5,0.00858242344111
unet_shuffle_inception_no_progressive,140.0,0.0159534532577
unet_shuffle_inception_no_progressive,29.0,0.0013202954141890001
unet_shuffle_inception_no_progressive,51.0,0.00388480658148125
unet_shuffle_inception_no_progressive,131.0,0.0145650133491
unet_shuffle_inception_no_progressive,212.25,0.0267682839185
unet_shuffle_inception_no_progressive,260.0,0.0600584447384
unet_shuffle_inception_no_progressive,341.25,0.0536968894303
unet_shuffle_inception_no_progressive,378.75,0.0814032703638
unet_shuffle_inception_no_progressive,400.5,0.0644818097353
unet_shuffle_inception_no_progressive,429.25,0.0624781884253
unet_shuffle_inception_no_progressive,454.75,0.105553984642
unet_shuffle_inception_no_progressive,457.5,0.0807095989585
unet_shuffle_inception_no_progressive,447.0,0.0707068443298
unet_shuffle_inception_no_progressive,432.25,0.0656911879778
unet_shuffle_inception_no_progressive,400.0,0.0721755474806
unet_shuffle_inception_no_progressive,367.75,0.0743647962809
unet_shuffle_inception_no_progressive,305.0,0.03469507023695
unet_shuffle_inception_no_progressive,213.5,0.0583090446889
unet_shuffle_inception_no_progressive,109.5,0.0273139216006
unet_shuffle_inception_no_progressive,5.0,0.0010958794155173333
unet_shuffle_inception_no_progressive,16.5,0.0024376858054897498
unet_shuffle_inception_no_progressive,11.5,0.0007353215187335
unet_shuffle_inception_no_progressive,41.0,0.004367230879142
unet_shuffle_inception_no_progressive,61.3333333333,0.005122556428736667
unet_shuffle_inception_no_progressive,72.6666666667,0.00404339469969
