Modality,Annotation Size,TP
unet_shuffle_inception_no_progressive,284.181818182,237.607910156
unet_shuffle_inception_no_progressive,219.272727273,178.939987183
unet_shuffle_inception_no_progressive,143.363636364,148.467712402
unet_shuffle_inception_no_progressive,127.285714286,29.2508239746
unet_shuffle_inception_no_progressive,67.4285714286,0.132053092122
unet_shuffle_inception_no_progressive,58.5714285714,24.8048782349
unet_shuffle_inception_no_progressive,88.5,0.00012420056737
unet_shuffle_inception_no_progressive,35.0,0.17179485805122494
unet_shuffle_inception_no_progressive,10.0,0.00011388099961544587
unet_shuffle_inception_no_progressive,51.5,0.0130497310311
unet_shuffle_inception_no_progressive,86.0,19.72512799035641
unet_shuffle_inception_no_progressive,83.0,26.478150007801776
unet_shuffle_inception_no_progressive,82.0,18.608439794251847
unet_shuffle_inception_no_progressive,57.0,10.688173332134323
unet_shuffle_inception_no_progressive,15.0,0.0005247971024542759
unet_shuffle_inception_no_progressive,20.0,0.3806907548118599
unet_shuffle_inception_no_progressive,22.0,0.010280472487161726
unet_shuffle_inception_no_progressive,49.3333333333,2.6402783993205017e-05
unet_shuffle_inception_no_progressive,61.2,1.84601682898e-13
unet_shuffle_inception_no_progressive,48.0,1.9692029128306082e-06
unet_shuffle_inception_no_progressive,44.3333333333,6.01000556344e-05
unet_shuffle_inception_no_progressive,130.0,88.3735961914
unet_shuffle_inception_no_progressive,195.0,88.6453552245
unet_shuffle_inception_no_progressive,275.0,259.796569824
unet_shuffle_inception_no_progressive,249.0,109.60050964350002
unet_shuffle_inception_no_progressive,57.25,25.4316997528
unet_shuffle_inception_no_progressive,179.0,111.252639771
unet_shuffle_inception_no_progressive,194.5,53.57095462671024
unet_shuffle_inception_no_progressive,4.0,0.04983445701273027
unet_shuffle_inception_no_progressive,11.0,0.0003135260281116474
unet_shuffle_inception_no_progressive,31.0,0.3328472223429337
unet_shuffle_inception_no_progressive,55.6666666667,0.000300639891066
unet_shuffle_inception_no_progressive,76.6666666667,0.00110119453166
unet_shuffle_inception_no_progressive,95.3333333333,0.00262021296658
unet_shuffle_inception_no_progressive,94.5,0.0249191969633
unet_shuffle_inception_no_progressive,80.5,28.8756496719799
unet_shuffle_inception_no_progressive,69.5,0.029283085838
