Modality,Annotation Size,TN
unet_shuffle_inception_no_progressive,534.0,261602.515625
unet_shuffle_inception_no_progressive,567.0,261573.75
unet_shuffle_inception_no_progressive,441.0,261699.671875
unet_shuffle_inception_no_progressive,445.0,261691.796875
unet_shuffle_inception_no_progressive,561.0,261580.203125
unet_shuffle_inception_no_progressive,589.0,261613.15625
unet_shuffle_inception_no_progressive,575.0,261565.0625
unet_shuffle_inception_no_progressive,523.0,261619.046875
unet_shuffle_inception_no_progressive,350.0,261788.5703125
unet_shuffle_inception_no_progressive,383.0,261757.4375
unet_shuffle_inception_no_progressive,358.0,261781.859375
unet_shuffle_inception_no_progressive,327.0,261816.6875
unet_shuffle_inception_no_progressive,290.0,261852.59375
unet_shuffle_inception_no_progressive,21.3333333333,262128.921875
unet_shuffle_inception_no_progressive,56.75,262076.890625
unet_shuffle_inception_no_progressive,68.75,262091.125
unet_shuffle_inception_no_progressive,70.0,262061.4921875
unet_shuffle_inception_no_progressive,62.5,262094.625
unet_shuffle_inception_no_progressive,49.75,262076.609375
unet_shuffle_inception_no_progressive,198.0,261945.9375
unet_shuffle_inception_no_progressive,128.5,262010.6875
unet_shuffle_inception_no_progressive,176.5,261818.109375
unet_shuffle_inception_no_progressive,177.5,262100.234375
unet_shuffle_inception_no_progressive,205.0,262008.0859375
unet_shuffle_inception_no_progressive,189.5,261797.65625
unet_shuffle_inception_no_progressive,201.0,262071.890625
unet_shuffle_inception_no_progressive,207.5,261735.75
unet_shuffle_inception_no_progressive,175.0,262103.71875
unet_shuffle_inception_no_progressive,192.0,262011.453125
unet_shuffle_inception_no_progressive,160.5,262129.046875
unet_shuffle_inception_no_progressive,279.0,261863.25
unet_shuffle_inception_no_progressive,291.0,261851.875
unet_shuffle_inception_no_progressive,263.0,261880.171875
unet_shuffle_inception_no_progressive,299.0,261843.28125
unet_shuffle_inception_no_progressive,285.0,261853.4453125
unet_shuffle_inception_no_progressive,267.0,261875.359375
unet_shuffle_inception_no_progressive,230.0,261911.421875
unet_shuffle_inception_no_progressive,216.0,261918.1640625
unet_shuffle_inception_no_progressive,189.0,261946.59375
unet_shuffle_inception_no_progressive,187.0,261953.328125
unet_shuffle_inception_no_progressive,159.0,261980.828125
unet_shuffle_inception_no_progressive,148.0,261994.96875
unet_shuffle_inception_no_progressive,166.0,261975.765625
unet_shuffle_inception_no_progressive,106.0,262027.53125
unet_shuffle_inception_no_progressive,19.3333333333,262119.5625
unet_shuffle_inception_no_progressive,24.75,262115.0625
unet_shuffle_inception_no_progressive,31.5,262119.859375
unet_shuffle_inception_no_progressive,23.75,262117.8125
unet_shuffle_inception_no_progressive,69.75,262079.828125
unet_shuffle_inception_no_progressive,78.25,262075.8125
unet_shuffle_inception_no_progressive,83.75,262077.8125
unet_shuffle_inception_no_progressive,94.25,262019.875
unet_shuffle_inception_no_progressive,71.0,262080.671875
unet_shuffle_inception_no_progressive,35.5,262089.671875
unet_shuffle_inception_no_progressive,36.25,262111.28645833334
unet_shuffle_inception_no_progressive,80.75,262068.25
unet_shuffle_inception_no_progressive,57.5,262076.5
unet_shuffle_inception_no_progressive,93.6666666667,262042.28125
unet_shuffle_inception_no_progressive,133.666666667,261983.703125
unet_shuffle_inception_no_progressive,146.333333333,261997.4375
unet_shuffle_inception_no_progressive,49.0,262100.6328125
unet_shuffle_inception_no_progressive,65.0,262078.90625
unet_shuffle_inception_no_progressive,45.0,262098.38020833334
unet_shuffle_inception_no_progressive,53.75,262105.1875
unet_shuffle_inception_no_progressive,12.5,262107.578125
unet_shuffle_inception_no_progressive,90.0,262049.3671875
unet_shuffle_inception_no_progressive,227.0,261910.0625
unet_shuffle_inception_no_progressive,272.0,261864.34375
unet_shuffle_inception_no_progressive,265.0,261866.03125
unet_shuffle_inception_no_progressive,162.0,261941.84375
unet_shuffle_inception_no_progressive,67.0,262063.71875
unet_shuffle_inception_no_progressive,45.3333333333,262089.84375
unet_shuffle_inception_no_progressive,11.25,262117.53125
unet_shuffle_inception_no_progressive,47.5,262106.7734375
unet_shuffle_inception_no_progressive,48.5,262065.390625
unet_shuffle_inception_no_progressive,30.5,262086.4375
unet_shuffle_inception_no_progressive,212.0,261962.078125
unet_shuffle_inception_no_progressive,169.0,261933.03645833334
unet_shuffle_inception_no_progressive,79.5,261896.96875
unet_shuffle_inception_no_progressive,34.25,262101.9375
unet_shuffle_inception_no_progressive,26.3333333333,262107.453125
unet_shuffle_inception_no_progressive,20.5,262117.90625
unet_shuffle_inception_no_progressive,17.5,262109.359375
