Modality,Annotation Size,FN
unet_shuffle_inception_no_progressive,4.0,3.95016559958375
unet_shuffle_inception_no_progressive,11.0,10.713972091671426
unet_shuffle_inception_no_progressive,31.0,29.667152404783334
unet_shuffle_inception_no_progressive,55.6666666667,58.9996986389
unet_shuffle_inception_no_progressive,76.6666666667,99.9989013672
unet_shuffle_inception_no_progressive,95.3333333333,102.997375488
unet_shuffle_inception_no_progressive,94.5,123.975074768
unet_shuffle_inception_no_progressive,80.5,69.62435340905
unet_shuffle_inception_no_progressive,69.5,90.9707183838
unet_shuffle_inception_no_progressive,53.0,53.74092292785
unet_shuffle_inception_no_progressive,41.5,41.9891872406
unet_shuffle_inception_no_progressive,24.5,13.967859268200002
unet_shuffle_inception_no_progressive,49.5,57.49993515015
unet_shuffle_inception_no_progressive,53.5,52.499860763550004
unet_shuffle_inception_no_progressive,87.0,76.3571065267
unet_shuffle_inception_no_progressive,2.0,1.999929070475
unet_shuffle_inception_no_progressive,3.0,2.999984264375
unet_shuffle_inception_no_progressive,9.0,8.297217988968999
unet_shuffle_inception_no_progressive,92.0,93.49722671505
unet_shuffle_inception_no_progressive,88.0,87.9999084473
unet_shuffle_inception_no_progressive,116.0,110.27010726913333
unet_shuffle_inception_no_progressive,64.0,66.7499628067
unet_shuffle_inception_no_progressive,37.0,39.17948627471
unet_shuffle_inception_no_progressive,25.0,24.436382391250003
unet_shuffle_inception_no_progressive,8.0,7.510932445525714
unet_shuffle_inception_no_progressive,220.25,269.999969482
unet_shuffle_inception_no_progressive,434.5,435.999023438
unet_shuffle_inception_no_progressive,464.25,466.266418457
unet_shuffle_inception_no_progressive,356.5,312.067504883
unet_shuffle_inception_no_progressive,132.25,18.9538574219
unet_shuffle_inception_no_progressive,86.5,78.0
unet_shuffle_inception_no_progressive,119.0,120.23746681224999
unet_shuffle_inception_no_progressive,112.5,140.999923706
unet_shuffle_inception_no_progressive,140.0,140.0
unet_shuffle_inception_no_progressive,29.0,25.62402234757143
unet_shuffle_inception_no_progressive,51.0,46.53624248505
unet_shuffle_inception_no_progressive,131.0,128.0
unet_shuffle_inception_no_progressive,212.25,195.0
unet_shuffle_inception_no_progressive,260.0,290.0
unet_shuffle_inception_no_progressive,341.25,359.0
unet_shuffle_inception_no_progressive,378.75,471.0
unet_shuffle_inception_no_progressive,400.5,379.0
unet_shuffle_inception_no_progressive,429.25,377.0
unet_shuffle_inception_no_progressive,454.75,559.0
unet_shuffle_inception_no_progressive,457.5,435.999938965
unet_shuffle_inception_no_progressive,447.0,392.99987793
unet_shuffle_inception_no_progressive,432.25,371.999572754
unet_shuffle_inception_no_progressive,400.0,392.999328613
unet_shuffle_inception_no_progressive,367.75,366.999633789
unet_shuffle_inception_no_progressive,305.0,273.04888916
unet_shuffle_inception_no_progressive,213.5,259.0
unet_shuffle_inception_no_progressive,109.5,128.0
unet_shuffle_inception_no_progressive,5.0,4.99990049998
