Modality,Annotation Size,Sensitivity
unet_shuffle_inception_no_progressive,44.3333333333,1.201043211968304e-06
unet_shuffle_inception_no_progressive,130.0,0.67979689378
unet_shuffle_inception_no_progressive,195.0,0.4545915830402664
unet_shuffle_inception_no_progressive,275.0,0.9447147436658024
unet_shuffle_inception_no_progressive,249.0,0.4401626691015198
unet_shuffle_inception_no_progressive,57.25,0.2794692339105452
unet_shuffle_inception_no_progressive,179.0,0.445010559084
unet_shuffle_inception_no_progressive,194.5,0.30965882132740336
unet_shuffle_inception_no_progressive,4.0,0.012458614160195627
unet_shuffle_inception_no_progressive,11.0,2.8502365291311088e-05
unet_shuffle_inception_no_progressive,31.0,0.008121343792712923
unet_shuffle_inception_no_progressive,55.6666666667,5.0955914362879e-06
unet_shuffle_inception_no_progressive,76.6666666667,1.1011945034503518e-05
unet_shuffle_inception_no_progressive,95.3333333333,2.543896190235871e-05
unet_shuffle_inception_no_progressive,94.5,0.0002009612756137
unet_shuffle_inception_no_progressive,80.5,0.3071715686035108
unet_shuffle_inception_no_progressive,69.5,0.000321792146869
unet_shuffle_inception_no_progressive,53.0,0.00014300000186974563
unet_shuffle_inception_no_progressive,41.5,0.00018972868330424593
unet_shuffle_inception_no_progressive,24.5,0.2049888026421376
unet_shuffle_inception_no_progressive,49.5,9.24564755875369e-07
unet_shuffle_inception_no_progressive,53.5,2.9634948999799755e-06
unet_shuffle_inception_no_progressive,87.0,0.14408489937798244
unet_shuffle_inception_no_progressive,2.0,3.5466649655050054e-05
unet_shuffle_inception_no_progressive,3.0,5.25138939354488e-06
unet_shuffle_inception_no_progressive,9.0,0.00031055065749852913
unet_shuffle_inception_no_progressive,92.0,2.921781553169679e-05
unet_shuffle_inception_no_progressive,88.0,1.086142004643595e-06
unet_shuffle_inception_no_progressive,116.0,0.19398077379084
unet_shuffle_inception_no_progressive,64.0,5.898058579793954e-07
unet_shuffle_inception_no_progressive,37.0,0.13028347212804073
unet_shuffle_inception_no_progressive,25.0,0.0989077907277034
unet_shuffle_inception_no_progressive,8.0,0.06113344530374825
unet_shuffle_inception_no_progressive,220.25,1.3750001960457974e-07
unet_shuffle_inception_no_progressive,434.5,2.2131881631640167e-06
unet_shuffle_inception_no_progressive,464.25,0.0058285780652512
unet_shuffle_inception_no_progressive,356.5,0.1307312211174716
unet_shuffle_inception_no_progressive,132.25,0.1384610262780559
unet_shuffle_inception_no_progressive,86.5,6.465705856600297e-08
unet_shuffle_inception_no_progressive,119.0,0.00010432795505058475
unet_shuffle_inception_no_progressive,112.5,5.966532604294333e-07
unet_shuffle_inception_no_progressive,140.0,1.1340886563201426e-12
unet_shuffle_inception_no_progressive,29.0,0.06324940886720544
unet_shuffle_inception_no_progressive,51.0,0.126740315147479
unet_shuffle_inception_no_progressive,131.0,1.6664008714331684e-11
unet_shuffle_inception_no_progressive,212.25,1.6580371335176738e-13
unet_shuffle_inception_no_progressive,260.0,7.955619679344826e-17
unet_shuffle_inception_no_progressive,341.25,6.656237925387449e-12
unet_shuffle_inception_no_progressive,378.75,1.1126183217833119e-09
unet_shuffle_inception_no_progressive,400.5,3.836736080925894e-09
unet_shuffle_inception_no_progressive,429.25,1.5553637758376125e-08
unet_shuffle_inception_no_progressive,454.75,5.2409338209432865e-08
unet_shuffle_inception_no_progressive,457.5,1.72581420173696e-07
unet_shuffle_inception_no_progressive,447.0,3.0269837154517295e-07
unet_shuffle_inception_no_progressive,432.25,1.1111585486655572e-06
unet_shuffle_inception_no_progressive,400.0,1.7188670248319346e-06
unet_shuffle_inception_no_progressive,367.75,1.0326964933439523e-06
unet_shuffle_inception_no_progressive,305.0,0.0031183799634189454
unet_shuffle_inception_no_progressive,213.5,7.225076393006365e-13
unet_shuffle_inception_no_progressive,109.5,1.5988950724999977e-15
unet_shuffle_inception_no_progressive,5.0,1.988806935911094e-05
unet_shuffle_inception_no_progressive,16.5,0.007138860631913051
unet_shuffle_inception_no_progressive,11.5,0.0009166770772964656
unet_shuffle_inception_no_progressive,41.0,0.1968449169631396
unet_shuffle_inception_no_progressive,61.3333333333,4.061396518577891e-08
unet_shuffle_inception_no_progressive,72.6666666667,7.29315166480834e-08
unet_shuffle_inception_no_progressive,72.0,8.068761666329588e-06
unet_shuffle_inception_no_progressive,70.3333333333,1.3064749131939214e-07
unet_shuffle_inception_no_progressive,30.6666666667,9.510823009017697e-06
unet_shuffle_inception_no_progressive,33.5,0.23963220032416294
unet_shuffle_inception_no_progressive,34.5,5.905944571220767e-06
unet_shuffle_inception_no_progressive,36.5,2.1911169575454177e-05
unet_shuffle_inception_no_progressive,36.875,1.437204236109091e-17
unet_shuffle_inception_no_progressive,58.25,0.6626285684517241
