Modality,Annotation Size,FP
lpd_unet_0_1,186.75,7.82389593124
lpd_unet_0_1,162.25,26.653805732705
lpd_unet_0_1,146.75,8.19406795502
lpd_unet_0_1,130.75,8.22599220276
lpd_unet_0_1,33.0,20.658653557297498
lpd_unet_0_1,18.25,7.39576101303
lpd_unet_0_1,160.0,152.37029520686667
lpd_unet_0_1,190.0,57.2001552582
lpd_unet_0_1,245.0,48.0108108521
lpd_unet_0_1,181.0,33.9135761261
lpd_unet_0_1,210.5,291.32662677745
lpd_unet_0_1,185.0,32.8578643799
lpd_unet_0_1,135.5,35.8008499146
lpd_unet_0_1,166.5,44.6005020142
lpd_unet_0_1,176.75,50.8399734497
lpd_unet_0_1,136.75,38.3535919189
lpd_unet_0_1,116.5,40.8226928711
lpd_unet_0_1,89.25,22.026690274483
lpd_unet_0_1,52.5,28.593791008000004
lpd_unet_0_1,40.5,36.35740470885
lpd_unet_0_1,78.0,221.95481777205
lpd_unet_0_1,112.0,144.42367124555
lpd_unet_0_1,122.0,11.81698274615
lpd_unet_0_1,134.0,10.4559144974
lpd_unet_0_1,150.0,43.385296185933335
lpd_unet_0_1,180.0,8.76507282257
lpd_unet_0_1,186.0,4.515671342611
lpd_unet_0_1,202.0,9.13461589813
lpd_unet_0_1,194.0,9.06980800629
lpd_unet_0_1,214.0,8.64587593079
lpd_unet_0_1,54.5,22.383776664750002
lpd_unet_0_1,69.25,30.5992641449
lpd_unet_0_1,83.25,41.0972480774
lpd_unet_0_1,69.0,466.20045852684996
lpd_unet_0_1,38.0,7.9805053711108
lpd_unet_0_1,54.0,14.396734333047998
lpd_unet_0_1,95.5,164.01845550550001
lpd_unet_0_1,161.0,174.16915829963332
lpd_unet_0_1,314.5,181.812713623
lpd_unet_0_1,351.0,341.403625488
lpd_unet_0_1,389.75,203.409011841
lpd_unet_0_1,247.714285714,316.661773682
lpd_unet_0_1,240.75,388.938018799
lpd_unet_0_1,237.555555556,870.219055176
lpd_unet_0_1,242.1,700.80267334
lpd_unet_0_1,304.181818182,921.192138672
lpd_unet_0_1,297.909090909,866.350280762
lpd_unet_0_1,355.727272727,876.538208008
lpd_unet_0_1,311.636363636,770.503540039
lpd_unet_0_1,284.181818182,725.119567871
lpd_unet_0_1,219.272727273,558.427368164
lpd_unet_0_1,143.363636364,449.244537354
lpd_unet_0_1,127.285714286,367.250732422
lpd_unet_0_1,67.4285714286,367.946472168
lpd_unet_0_1,58.5714285714,310.956726074
lpd_unet_0_1,88.5,283.099853516
lpd_unet_0_1,35.0,106.80217488593833
lpd_unet_0_1,10.0,20.53614357538957
lpd_unet_0_1,51.5,29.8691501617
lpd_unet_0_1,86.0,63.05692005154
lpd_unet_0_1,83.0,60.88019800199
lpd_unet_0_1,82.0,16.8697509766
lpd_unet_0_1,57.0,9.135636508465002
lpd_unet_0_1,15.0,66.74723290249554
lpd_unet_0_1,20.0,53.966745341790826
lpd_unet_0_1,22.0,70.70894671232938
lpd_unet_0_1,49.3333333333,88.03974914525
lpd_unet_0_1,61.2,51.4995651245
lpd_unet_0_1,48.0,26.226673126199998
lpd_unet_0_1,44.3333333333,0.48679083585750005
lpd_unet_0_1,130.0,333.685638428
lpd_unet_0_1,195.0,535.574859619
lpd_unet_0_1,275.0,863.94128418
lpd_unet_0_1,249.0,389.2847153842135
lpd_unet_0_1,57.25,89.4392547607
lpd_unet_0_1,179.0,47.3419799805
lpd_unet_0_1,194.5,114.27476654931951
lpd_unet_0_1,4.0,40.984390974067495
lpd_unet_0_1,11.0,78.97499792920284
lpd_unet_0_1,31.0,30.74180649717033
lpd_unet_0_1,55.6666666667,24.2884521484
lpd_unet_0_1,76.6666666667,25.01770401
lpd_unet_0_1,95.3333333333,26.905796051
lpd_unet_0_1,94.5,27.5006771088
lpd_unet_0_1,80.5,226.89945316315
lpd_unet_0_1,69.5,23.2737121582
lpd_unet_0_1,53.0,149.803407102736
lpd_unet_0_1,41.5,9.372803241016499
lpd_unet_0_1,24.5,24.547101974500002
lpd_unet_0_1,49.5,34.614139556850006
lpd_unet_0_1,53.5,19.1408147812
lpd_unet_0_1,87.0,96.41205501543332
lpd_unet_0_1,2.0,20.913333892849998
lpd_unet_0_1,3.0,12.99913311005
lpd_unet_0_1,9.0,78.527775001477
lpd_unet_0_1,92.0,8.00570893287
lpd_unet_0_1,88.0,11.6047668457
lpd_unet_0_1,116.0,17.003862142573333
lpd_unet_0_1,64.0,85.46819138514999
lpd_unet_0_1,37.0,144.86026644706166
lpd_unet_0_1,25.0,199.72708136387553
lpd_unet_0_1,8.0,108.03822459489285
lpd_unet_0_1,220.25,31.1091823578
lpd_unet_0_1,434.5,34.0459899902
lpd_unet_0_1,464.25,152.592697144
lpd_unet_0_1,356.5,156.979980469
lpd_unet_0_1,132.25,140.691085815
lpd_unet_0_1,86.5,94.322265625
lpd_unet_0_1,119.0,56.156265974025004
lpd_unet_0_1,112.5,3.05297923088
lpd_unet_0_1,140.0,2.7455072403
lpd_unet_0_1,29.0,44.95944353508428
lpd_unet_0_1,51.0,11.099629342554998
lpd_unet_0_1,131.0,148.715652466
lpd_unet_0_1,212.25,486.275878906
lpd_unet_0_1,260.0,481.545776367
lpd_unet_0_1,341.25,324.002044678
lpd_unet_0_1,378.75,212.007797241
lpd_unet_0_1,400.5,119.267433167
lpd_unet_0_1,429.25,99.7768859863
lpd_unet_0_1,454.75,466.647949219
lpd_unet_0_1,457.5,572.282714844
lpd_unet_0_1,447.0,360.55090332
lpd_unet_0_1,432.25,331.227233887
lpd_unet_0_1,400.0,451.436584473
lpd_unet_0_1,367.75,926.289123535
lpd_unet_0_1,305.0,413.814030170395
lpd_unet_0_1,213.5,132.380111694
lpd_unet_0_1,109.5,11.772600174
lpd_unet_0_1,5.0,48.36923340955133
lpd_unet_0_1,16.5,55.558875083925
lpd_unet_0_1,11.5,45.88157653805
lpd_unet_0_1,41.0,155.59775724407
lpd_unet_0_1,61.3333333333,33.8377157847
lpd_unet_0_1,72.6666666667,30.9602050781
lpd_unet_0_1,72.0,15.363472541196666
lpd_unet_0_1,70.3333333333,28.3092441559
lpd_unet_0_1,30.6666666667,68.88127072666667
lpd_unet_0_1,33.5,15.331662654881
lpd_unet_0_1,34.5,40.48350429535
lpd_unet_0_1,36.5,17.44688940045
lpd_unet_0_1,36.875,15.0857868195
lpd_unet_0_1,58.25,24.8216838837
lpd_unet_0_1,21.5,13.0118408203
lpd_unet_0_1,28.3333333333,15.083059862234
lpd_unet_0_1,73.0,67.4327802656
lpd_unet_0_1,61.0,27.25671325623325
lpd_unet_0_1,42.0,21.509093642222503
lpd_unet_0_1,43.5,37.14282019934
lpd_unet_0_1,6.66666666667,2.38764882088
lpd_unet_0_1,40.25,74.289810180665
lpd_unet_0_1,37.25,62.6072616577
lpd_unet_0_1,30.75,235.58833313
lpd_unet_0_1,44.6666666667,96.9337615967
lpd_unet_0_1,87.6666666667,496.0607757566
lpd_unet_0_1,105.0,127.419548035
lpd_unet_0_1,23.5,12.365790426739999
lpd_unet_0_1,36.1666666667,1.42951202393
lpd_unet_0_1,36.4,1.28894615173
lpd_unet_0_1,32.6666666667,210.63147139526
