Modality,Annotation Size,FN
lpd_unet_0_1,238.0,185.556472778
lpd_unet_0_1,227.333333333,234.669921875
lpd_unet_0_1,250.0,299.691101074
lpd_unet_0_1,136.0,135.872009277
lpd_unet_0_1,58.0,54.93157323203334
lpd_unet_0_1,94.6666666667,98.7812347412
lpd_unet_0_1,118.333333333,94.1483001709
lpd_unet_0_1,121.333333333,104.776268005
lpd_unet_0_1,321.666666667,326.405029297
lpd_unet_0_1,367.666666667,336.274902344
lpd_unet_0_1,413.333333333,362.719650269
lpd_unet_0_1,362.333333333,249.266738892
lpd_unet_0_1,346.0,224.625839233
lpd_unet_0_1,339.666666667,269.350830078
lpd_unet_0_1,341.0,221.927719116
lpd_unet_0_1,240.0,107.279998779
lpd_unet_0_1,228.666666667,126.405906677
lpd_unet_0_1,200.0,105.56968689
lpd_unet_0_1,217.333333333,149.701278687
lpd_unet_0_1,196.666666667,107.355606079
lpd_unet_0_1,173.5,206.705444336
lpd_unet_0_1,142.0,141.903381348
lpd_unet_0_1,168.0,167.944046021
lpd_unet_0_1,193.0,192.933258057
lpd_unet_0_1,146.0,145.954071045
lpd_unet_0_1,158.0,157.956466675
lpd_unet_0_1,81.0,80.8292312622
lpd_unet_0_1,48.75,34.9999694824
lpd_unet_0_1,75.25,44.9997215271
lpd_unet_0_1,62.75,71.9990348816
lpd_unet_0_1,56.25,51.9999771118
lpd_unet_0_1,37.75,37.9999847412
lpd_unet_0_1,96.0,105.3658828737
lpd_unet_0_1,156.0,130.881767273
lpd_unet_0_1,145.0,144.970993042
lpd_unet_0_1,171.0,116.4214458468
lpd_unet_0_1,87.5,117.997634888
lpd_unet_0_1,38.6666666667,35.9872093201
lpd_unet_0_1,163.0,140.099639893
lpd_unet_0_1,131.5,110.0
lpd_unet_0_1,108.5,93.932800293
lpd_unet_0_1,57.6666666667,83.9991912842
lpd_unet_0_1,46.0,51.9977874756
lpd_unet_0_1,64.5,49.9499206543
lpd_unet_0_1,60.75,55.9978179932
lpd_unet_0_1,35.3333333333,34.997669220000006
lpd_unet_0_1,24.6666666667,26.9999885559
lpd_unet_0_1,42.6666666667,29.9989585876
lpd_unet_0_1,27.75,31.9905700684
lpd_unet_0_1,167.0,46.1473464966
lpd_unet_0_1,241.0,81.0804367065
lpd_unet_0_1,223.75,103.965705872
lpd_unet_0_1,179.333333333,128.692779541
lpd_unet_0_1,45.75,53.0
lpd_unet_0_1,35.6666666667,45.9977874756
lpd_unet_0_1,166.25,59.1925468445
lpd_unet_0_1,250.25,58.3222351074
lpd_unet_0_1,303.75,123.441268921
lpd_unet_0_1,366.5,158.536193848
lpd_unet_0_1,436.75,260.920715332
lpd_unet_0_1,486.25,394.656158447
lpd_unet_0_1,550.25,471.499084473
lpd_unet_0_1,547.75,449.924133301
lpd_unet_0_1,557.75,472.318206787
lpd_unet_0_1,555.25,451.572174072
lpd_unet_0_1,541.0,388.229248047
lpd_unet_0_1,520.0,397.421264648
lpd_unet_0_1,482.75,421.311096191
lpd_unet_0_1,444.0,429.331726074
lpd_unet_0_1,322.5,342.030517578
lpd_unet_0_1,267.75,258.118377686
lpd_unet_0_1,231.5,188.96585083
lpd_unet_0_1,92.5,128.999954224
lpd_unet_0_1,246.5,217.999801636
lpd_unet_0_1,308.0,353.999694824
lpd_unet_0_1,381.0,408.999237061
lpd_unet_0_1,540.75,412.998413086
lpd_unet_0_1,605.75,499.998596191
lpd_unet_0_1,678.5,570.998962402
lpd_unet_0_1,700.25,636.999511719
lpd_unet_0_1,759.25,690.999633789
lpd_unet_0_1,777.5,848.999755859
lpd_unet_0_1,787.0,480.24569702149995
lpd_unet_0_1,775.5,901.999755859
lpd_unet_0_1,720.5,641.999389648
lpd_unet_0_1,674.75,592.994445801
lpd_unet_0_1,406.25,342.455688477
lpd_unet_0_1,338.25,365.621582031
lpd_unet_0_1,288.5,343.979553223
lpd_unet_0_1,257.25,301.37512207
lpd_unet_0_1,197.25,233.947174072
lpd_unet_0_1,93.25,92.9992675781
lpd_unet_0_1,89.75,52.9998779297
lpd_unet_0_1,119.142857143,34.9999885559
lpd_unet_0_1,295.75,263.360107422
lpd_unet_0_1,490.0,358.129516602
lpd_unet_0_1,585.75,265.415496826
lpd_unet_0_1,685.5,253.509765625
lpd_unet_0_1,754.25,382.556365967
lpd_unet_0_1,798.25,279.799682617
lpd_unet_0_1,811.0,204.449371338
lpd_unet_0_1,782.5,280.62713623
lpd_unet_0_1,776.5,269.453613281
lpd_unet_0_1,772.0,231.191436768
lpd_unet_0_1,746.5,146.99810791
lpd_unet_0_1,689.25,152.263580322
lpd_unet_0_1,608.5,133.611328125
lpd_unet_0_1,489.5,129.043395996
lpd_unet_0_1,310.25,69.145614624
lpd_unet_0_1,228.25,56.7446136475
lpd_unet_0_1,91.8571428571,51.9097175598
lpd_unet_0_1,103.25,48.2728881836
lpd_unet_0_1,129.0,94.7838058472
lpd_unet_0_1,132.0,26.9443435669
lpd_unet_0_1,122.5,61.0753631592
lpd_unet_0_1,199.0,198.999938965
lpd_unet_0_1,294.0,293.997680664
lpd_unet_0_1,546.0,545.914672852
lpd_unet_0_1,739.0,738.9869384765
lpd_unet_0_1,1009.0,1006.05822754
lpd_unet_0_1,1127.0,1094.43579102
lpd_unet_0_1,625.0,550.497802734
lpd_unet_0_1,621.0,475.655517578
lpd_unet_0_1,1221.0,970.352539062
lpd_unet_0_1,1142.0,1023.4588623
lpd_unet_0_1,1020.0,1018.70977783
lpd_unet_0_1,75.1666666667,46.9999389648
lpd_unet_0_1,123.0,104.633468628
lpd_unet_0_1,75.75,56.8990097046
lpd_unet_0_1,77.3333333333,32.9981079102
lpd_unet_0_1,72.1666666667,54.9910545349
lpd_unet_0_1,165.333333333,36.6820907593
lpd_unet_0_1,314.333333333,101.4815979
lpd_unet_0_1,219.8,100.215896606
lpd_unet_0_1,236.833333333,87.9935836792
lpd_unet_0_1,269.5,114.255981445
lpd_unet_0_1,265.25,39.9999046326
lpd_unet_0_1,306.0,130.109420776
lpd_unet_0_1,240.666666667,89.111618042
lpd_unet_0_1,90.6666666667,46.9647216797
lpd_unet_0_1,138.0,16.8341007233
lpd_unet_0_1,206.0,43.2450942993
lpd_unet_0_1,24.25,17.9821872711
lpd_unet_0_1,28.5,25.9544792175
lpd_unet_0_1,56.0,55.9083633423
lpd_unet_0_1,242.0,185.33795166
lpd_unet_0_1,308.333333333,406.720977783
lpd_unet_0_1,307.5,141.09928894
lpd_unet_0_1,422.75,192.902832031
lpd_unet_0_1,447.25,199.576080322
lpd_unet_0_1,456.0,243.808105469
lpd_unet_0_1,461.0,240.111801147
lpd_unet_0_1,481.0,234.678878784
lpd_unet_0_1,520.5,236.775314331
lpd_unet_0_1,525.25,279.1832733155
lpd_unet_0_1,548.5,274.48260498
lpd_unet_0_1,552.0,269.221160889
lpd_unet_0_1,528.5,317.059906006
lpd_unet_0_1,540.5,213.399261475
lpd_unet_0_1,551.75,225.310791016
lpd_unet_0_1,416.0,293.831420898
lpd_unet_0_1,333.5,176.8507003785
lpd_unet_0_1,315.5,226.321334839
lpd_unet_0_1,181.25,140.704223633
lpd_unet_0_1,126.5,137.485900879
lpd_unet_0_1,80.25,112.102920532
lpd_unet_0_1,59.6666666667,68.922668457
lpd_unet_0_1,62.6666666667,64.9001541138
