Modality,Annotation Size,Sensitivity
lpd_unet_0_1,245.0,0.0024010950579147
lpd_unet_0_1,181.0,0.0015235190839686
lpd_unet_0_1,210.5,0.3313575404810514
lpd_unet_0_1,185.0,0.0031553652240145
lpd_unet_0_1,135.5,0.0094326417990788
lpd_unet_0_1,166.5,0.1991036815558461
lpd_unet_0_1,176.75,0.3638697225572384
lpd_unet_0_1,136.75,0.2653192759991201
lpd_unet_0_1,116.5,0.0586173184598221
lpd_unet_0_1,89.25,0.0039609283513732
lpd_unet_0_1,52.5,0.00044891299790684997
lpd_unet_0_1,40.5,0.0026411137200493
lpd_unet_0_1,78.0,5.662554178131465e-05
lpd_unet_0_1,112.0,0.3063148022756784
lpd_unet_0_1,122.0,0.000358822938692
lpd_unet_0_1,134.0,0.0001346017435049
lpd_unet_0_1,150.0,0.0021283493660848333
lpd_unet_0_1,180.0,0.0001762752932144
lpd_unet_0_1,186.0,9.843003361173451e-05
lpd_unet_0_1,202.0,0.0001932184349559
lpd_unet_0_1,194.0,0.0001573935522879
lpd_unet_0_1,214.0,0.0001469905496817
lpd_unet_0_1,54.5,8.581864839453298e-05
lpd_unet_0_1,69.25,0.014397779391024806
lpd_unet_0_1,83.25,2.2104328222249368e-05
lpd_unet_0_1,69.0,0.23552163117217242
lpd_unet_0_1,38.0,0.00014808963063471804
lpd_unet_0_1,54.0,0.00283562879460658
lpd_unet_0_1,95.5,0.8538765581345023
lpd_unet_0_1,161.0,0.36878397267835683
lpd_unet_0_1,314.5,0.8462115920742316
lpd_unet_0_1,351.0,0.993632978430799
lpd_unet_0_1,389.75,0.9044955083809276
lpd_unet_0_1,247.714285714,0.9116268064828004
lpd_unet_0_1,240.75,0.9949285937548444
lpd_unet_0_1,237.555555556,0.1704654891872863
lpd_unet_0_1,242.1,0.9923880877607316
lpd_unet_0_1,304.181818182,0.8980142033593943
lpd_unet_0_1,297.909090909,0.8776340913163239
lpd_unet_0_1,355.727272727,0.9787750162700912
lpd_unet_0_1,311.636363636,0.9300648848180644
lpd_unet_0_1,284.181818182,0.9490362724650206
lpd_unet_0_1,219.272727273,0.8982923602421509
lpd_unet_0_1,143.363636364,0.867056087433867
lpd_unet_0_1,127.285714286,0.9530316988760202
lpd_unet_0_1,67.4285714286,0.0012494774160849
