Modality,Annotation Size,TP
lpd_unet_0_1,367.75,0.0
lpd_unet_0_1,305.0,0.000537280284335
lpd_unet_0_1,213.5,0.0
lpd_unet_0_1,109.5,0.0
lpd_unet_0_1,5.0,3.4905016832433336e-07
lpd_unet_0_1,16.5,0.0001085130835515186
lpd_unet_0_1,11.5,0.0022671024861971208
lpd_unet_0_1,41.0,8.20446962415876
lpd_unet_0_1,61.3333333333,0.48584846551654115
lpd_unet_0_1,72.6666666667,0.102899722755
lpd_unet_0_1,72.0,0.047939665770783325
lpd_unet_0_1,70.3333333333,0.0516664497554
lpd_unet_0_1,30.6666666667,0.009476257367168867
lpd_unet_0_1,33.5,0.013181902975748911
lpd_unet_0_1,34.5,0.00172639440643445
lpd_unet_0_1,36.5,0.000728506245649
lpd_unet_0_1,36.875,0.000126509839902
lpd_unet_0_1,58.25,0.403182864189
lpd_unet_0_1,21.5,0.0366057232022
lpd_unet_0_1,28.3333333333,0.0007491205697082349
lpd_unet_0_1,73.0,31.9246635437
lpd_unet_0_1,61.0,1.8501216956653874
lpd_unet_0_1,42.0,0.167350174575369
lpd_unet_0_1,43.5,0.05811651885339966
lpd_unet_0_1,6.66666666667,0.000253015285125
lpd_unet_0_1,40.25,0.018551118323214842
lpd_unet_0_1,37.25,0.0109052807093
lpd_unet_0_1,30.75,0.000501871341839
lpd_unet_0_1,44.6666666667,0.00131781480741
lpd_unet_0_1,87.6666666667,4.358273983000254
lpd_unet_0_1,105.0,0.563133358955
lpd_unet_0_1,23.5,0.0180771923332915
lpd_unet_0_1,36.1666666667,0.00258617266081
lpd_unet_0_1,36.4,0.00961588323116
lpd_unet_0_1,32.6666666667,0.000573006698687
lpd_unet_0_1,70.5,0.0329984873533
lpd_unet_0_1,150.5,23.140581131
lpd_unet_0_1,71.25,0.0012611544228988527
lpd_unet_0_1,44.0,0.18892506559037123
lpd_unet_0_1,34.0,0.022708278439380634
lpd_unet_0_1,91.0,1.93709820451e-05
lpd_unet_0_1,15.3333333333,0.0002707678359
lpd_unet_0_1,29.25,0.000678770884406
lpd_unet_0_1,33.25,0.0010417640442
lpd_unet_0_1,16.25,7.16513604855e-05
lpd_unet_0_1,58.75,0.000195148284547
lpd_unet_0_1,86.25,0.000341976818163
lpd_unet_0_1,146.25,7.71912050247
lpd_unet_0_1,201.5,74.9986572266
lpd_unet_0_1,225.0,111.613021851
lpd_unet_0_1,247.5,149.741271973
lpd_unet_0_1,257.0,122.480743408
lpd_unet_0_1,265.75,103.787635803
lpd_unet_0_1,278.0,60.62258712177298
lpd_unet_0_1,199.25,30.0940208435
lpd_unet_0_1,147.75,0.147598445415
lpd_unet_0_1,73.6666666667,0.000536853796802
lpd_unet_0_1,39.0,0.0211802849271501
lpd_unet_0_1,32.3333333333,0.00109493048898813
lpd_unet_0_1,9.5,0.000581995001994
lpd_unet_0_1,77.25,0.038426113314914995
lpd_unet_0_1,93.5,0.0222893003374
lpd_unet_0_1,30.0,0.04241454866507483
lpd_unet_0_1,102.0,0.000274989113677
lpd_unet_0_1,160.666666667,0.026663640514
lpd_unet_0_1,307.666666667,9.36562728882
lpd_unet_0_1,385.666666667,62.4251861572
lpd_unet_0_1,437.333333333,64.4186325073
lpd_unet_0_1,514.0,130.04450988785
lpd_unet_0_1,568.333333333,19.5900039673
lpd_unet_0_1,605.0,4.10652399063
lpd_unet_0_1,687.666666667,48.7779464722
lpd_unet_0_1,739.333333333,134.530456543
lpd_unet_0_1,736.0,157.329559326
lpd_unet_0_1,776.0,167.131210327
lpd_unet_0_1,740.333333333,169.199203491
lpd_unet_0_1,662.0,154.455795288
lpd_unet_0_1,536.333333333,185.685775757
lpd_unet_0_1,393.0,160.300750732
lpd_unet_0_1,316.333333333,138.132965088
lpd_unet_0_1,265.333333333,82.7268447876
lpd_unet_0_1,143.666666667,2.77074575424
lpd_unet_0_1,59.5,0.0075551287930779995
lpd_unet_0_1,46.6666666667,0.0837903022766
lpd_unet_0_1,26.5,0.010477088857425
lpd_unet_0_1,43.0,0.01318711694045434
lpd_unet_0_1,66.0,0.7917911303273724
lpd_unet_0_1,36.0,0.04132114409319975
lpd_unet_0_1,18.3333333333,0.000141340511618
lpd_unet_0_1,79.3333333333,0.446204900742
lpd_unet_0_1,31.6666666667,0.000129805353936
lpd_unet_0_1,92.3333333333,0.619458258152
lpd_unet_0_1,128.0,16.0886297226
lpd_unet_0_1,154.333333333,28.0193519592
lpd_unet_0_1,89.6666666667,0.81413282081525
lpd_unet_0_1,19.5,0.005354065127893866
lpd_unet_0_1,143.0,4.9509100914903055
lpd_unet_0_1,133.333333333,3.62177041829e-12
