Modality,Annotation Size,PSNR_loss
lpd_unet_0_1,311.636363636,29.593044281
lpd_unet_0_1,284.181818182,29.9597454071
lpd_unet_0_1,219.272727273,29.5579223633
lpd_unet_0_1,143.363636364,29.3700561523
lpd_unet_0_1,127.285714286,29.2653656006
lpd_unet_0_1,67.4285714286,29.2477874756
lpd_unet_0_1,58.5714285714,29.4072113037
lpd_unet_0_1,88.5,29.5965881348
lpd_unet_0_1,35.0,30.836420377083332
lpd_unet_0_1,10.0,31.30849729265714
lpd_unet_0_1,51.5,30.0759925842
lpd_unet_0_1,86.0,31.4515851339
lpd_unet_0_1,83.0,32.033834457400005
lpd_unet_0_1,82.0,30.4963588715
lpd_unet_0_1,57.0,30.0041131973
lpd_unet_0_1,15.0,32.114510756276914
lpd_unet_0_1,20.0,31.25558641221667
lpd_unet_0_1,22.0,31.3547346591875
lpd_unet_0_1,49.3333333333,31.1493358612
lpd_unet_0_1,61.2,32.628818512
lpd_unet_0_1,48.0,34.59464168545
lpd_unet_0_1,44.3333333333,30.84239292145
lpd_unet_0_1,130.0,34.5504379272
lpd_unet_0_1,195.0,31.98640060425
lpd_unet_0_1,275.0,34.5718994141
lpd_unet_0_1,249.0,31.58126449585
lpd_unet_0_1,57.25,32.3462333679
lpd_unet_0_1,179.0,33.4929008484
lpd_unet_0_1,194.5,31.298904418950002
lpd_unet_0_1,4.0,32.64697122574999
lpd_unet_0_1,11.0,32.64869090488572
lpd_unet_0_1,31.0,33.50948651631666
lpd_unet_0_1,55.6666666667,33.6384239197
lpd_unet_0_1,76.6666666667,31.7634868622
lpd_unet_0_1,95.3333333333,29.8259773254
lpd_unet_0_1,94.5,32.1468200684
lpd_unet_0_1,80.5,32.58506774905
lpd_unet_0_1,69.5,30.8559970856
lpd_unet_0_1,53.0,31.118289947499996
lpd_unet_0_1,41.5,31.25190734865
lpd_unet_0_1,24.5,30.021489143400004
lpd_unet_0_1,49.5,35.6243438721
lpd_unet_0_1,53.5,37.7963962555
lpd_unet_0_1,87.0,31.954985300666667
lpd_unet_0_1,2.0,34.02806663515
lpd_unet_0_1,3.0,34.724201202399996
lpd_unet_0_1,9.0,30.14871864319
lpd_unet_0_1,92.0,32.18327617645
lpd_unet_0_1,88.0,34.8831481934
lpd_unet_0_1,116.0,30.64350255326666
lpd_unet_0_1,64.0,32.1392569542
lpd_unet_0_1,37.0,30.749617894483332
lpd_unet_0_1,25.0,30.39923321114546
lpd_unet_0_1,8.0,31.434373038157137
lpd_unet_0_1,220.25,30.7797203064
lpd_unet_0_1,434.5,31.7298698425
lpd_unet_0_1,464.25,32.6078109741
lpd_unet_0_1,356.5,33.6598320007
lpd_unet_0_1,132.25,32.4579238892
lpd_unet_0_1,86.5,33.0936203003
lpd_unet_0_1,119.0,33.182518959075
lpd_unet_0_1,112.5,33.5956001282
lpd_unet_0_1,140.0,34.9542655945
lpd_unet_0_1,29.0,33.098395483828575
lpd_unet_0_1,51.0,30.549043655425
lpd_unet_0_1,131.0,30.0957717896
lpd_unet_0_1,212.25,30.1255226135
lpd_unet_0_1,260.0,30.0867862701
lpd_unet_0_1,341.25,24.6545124054
lpd_unet_0_1,378.75,24.5637111664
lpd_unet_0_1,400.5,24.7431297302
lpd_unet_0_1,429.25,26.1498146057
lpd_unet_0_1,454.75,26.1000442505
lpd_unet_0_1,457.5,25.1971054077
lpd_unet_0_1,447.0,24.9970436096
lpd_unet_0_1,432.25,23.9351844788
lpd_unet_0_1,400.0,25.1677017212
