patient_index,Sensitivity,Specificity,DICE,C
LIDC-IDRI-0940,0.03731149543575082,0.9998572444329505,0.003209277097624819,0_6
LIDC-IDRI-0941,2.7329026166925772e-05,0.9999230015985241,7.841384161583956e-07,0_6
LIDC-IDRI-0942,0.35455455302713706,0.9982651039040793,0.035665453958966156,0_6
LIDC-IDRI-0943,1.5331588894568563e-05,0.999907413128001,2.4606901817368624e-07,0_6
LIDC-IDRI-0944,1.749804698209094e-07,0.9988956303554238,9.906203838080987e-09,0_6
LIDC-IDRI-0945,0.7131729977996782,0.9997345249712047,0.013102397801193887,0_6
LIDC-IDRI-0946,0.47914515388087414,0.9988098123177568,0.011647745261303282,0_6
LIDC-IDRI-0947,0.00024190530991509494,0.9998497280215363,5.033192362084035e-05,0_6
LIDC-IDRI-0949,0.23227557247217204,0.9995487322255155,0.022230893625118434,0_6
LIDC-IDRI-0950,0.00017219966746382759,0.9997801704749356,4.316701152547837e-06,0_6
LIDC-IDRI-0951,0.05462050624567815,0.999788927914004,0.0024200683204005733,0_6
LIDC-IDRI-0953,0.0010832079710815213,0.9998423373539466,3.909770098261004e-05,0_6
LIDC-IDRI-0955,1.2614281686473863e-05,0.9999352087809334,3.1667260655312545e-07,0_6
LIDC-IDRI-0956,0.00040578283905097837,0.9998692219711257,2.4041536512393434e-05,0_6
LIDC-IDRI-0957,1.7503493415691824e-08,0.9990334049955414,4.788219307756503e-10,0_6
LIDC-IDRI-0958,0.0171232055968679,0.999381088656251,0.0010673739017072357,0_6
LIDC-IDRI-0959,6.600720343385481e-05,0.9999541743180548,1.6321935104413935e-06,0_6
LIDC-IDRI-0961,0.0004278224401352679,0.9996953835642416,4.515996080154203e-05,0_6
LIDC-IDRI-0962,0.023454762193240018,0.9994210167933109,0.0020874049009422745,0_6
LIDC-IDRI-0963,5.882640152889363e-05,0.9999212670766827,1.1339510443338465e-06,0_6
LIDC-IDRI-0965,0.2253802312729119,0.9995925648274796,0.014130438784116746,0_6
LIDC-IDRI-0966,0.0001561194496708842,0.9999531531372711,1.1998678246961067e-05,0_6
LIDC-IDRI-0968,0.20015351027159897,0.9995088932534143,0.022123684262381666,0_6
LIDC-IDRI-0969,0.0001481240328576006,0.9998397245257242,6.293899949612196e-06,0_6
LIDC-IDRI-0971,9.057697419250756e-09,0.9999139493536034,4.5668845442237667e-10,0_6
LIDC-IDRI-0972,0.0020493473445773566,0.999729499076203,0.00026033630633473623,0_6
LIDC-IDRI-0973,0.041477138936921905,0.999557078520286,0.005322126198048004,0_6
LIDC-IDRI-0974,0.17873874947127805,0.9995177748933678,0.014882594813630365,0_6
LIDC-IDRI-0976,3.1057471026225197e-05,0.9997946809291877,4.107812564357407e-06,0_6
LIDC-IDRI-0977,3.1060393922642904e-07,0.9998689408488726,9.183461862337244e-09,0_6
LIDC-IDRI-0978,0.0482574224777798,0.9992180090019512,0.015905398999151887,0_6
LIDC-IDRI-0980,0.12445978225891673,0.9996140519601024,0.009329903534951755,0_6
LIDC-IDRI-0981,0.0029856316654486574,0.9994838724878734,7.479178390112568e-05,0_6
LIDC-IDRI-0982,0.11149034864257824,0.9998736083891356,0.008171527826124191,0_6
LIDC-IDRI-0983,0.0007373384258021939,0.9997483465957558,3.249607045800863e-05,0_6
LIDC-IDRI-0984,0.00014592053546378774,0.9999162303801855,5.049095227866499e-06,0_6
LIDC-IDRI-0985,2.1246063314498775e-08,0.9996474218535916,1.959967258094249e-09,0_6
LIDC-IDRI-0986,0.31409833251096125,0.9990564751341684,0.011899978426295211,0_6
LIDC-IDRI-0987,0.0006457688809660947,0.9998994655270523,4.549832538384208e-05,0_6
LIDC-IDRI-0989,2.8051801042058754e-08,0.9993965053469154,1.1646777708271154e-10,0_6
LIDC-IDRI-0990,1.4834085807947825e-05,0.9990867846499828,6.070538518422636e-07,0_6
LIDC-IDRI-0991,9.508642648825658e-06,0.9998566954525029,1.1108983107252465e-07,0_6
LIDC-IDRI-0993,0.6693062458138078,0.9997015730917576,0.014901447489212046,0_6
LIDC-IDRI-0994,0.06616910886676428,0.9998060398151779,0.014140171276247462,0_6
LIDC-IDRI-0996,7.332474393325821e-07,0.9991764163998155,2.8143882457918006e-09,0_6
LIDC-IDRI-0997,8.87878400212044e-06,0.9995037932436053,7.561719058871961e-07,0_6
