Modality,Annotation Size,DICE
0_1,154.333333333,0.0836935636886954
0_1,89.6666666667,0.0008479249428937
0_1,19.5,2.9123322190245758e-05
0_1,143.0,0.10960584053194695
0_1,133.333333333,1.789865493113019e-09
0_1,85.6666666667,1.1772881922403346e-11
0_1,63.6666666667,4.959722973540641e-06
0_1,51.6666666667,1.6607186425390834e-06
0_1,75.0,2.0349373264773695e-05
0_1,203.25,0.615737844952366
0_1,188.25,0.6261839164514204
0_1,111.0,0.0034234152903677
0_1,16.3333333333,8.47905248132593e-05
0_1,43.3333333333,1.9212085660852704e-05
0_1,134.75,4.9756533152879656e-33
0_1,242.25,1.75527374317851e-27
0_1,316.5,5.554440484794308e-27
0_1,334.8,2.328677327629752e-22
0_1,421.6,1.175157349176782e-15
0_1,646.5,1.6288889866468096e-11
0_1,720.75,7.473451485903817e-09
0_1,753.5,1.4576695053092865e-08
0_1,826.5,1.635661453472575e-08
0_1,806.5,3.2519159634141804e-09
0_1,736.5,6.96401597979888e-10
0_1,697.5,1.4676426823380772e-08
0_1,659.25,1.5790053626290872e-07
0_1,560.25,1.8157054933864984e-07
0_1,466.25,2.341599673018853e-07
0_1,347.25,2.647539532303012e-07
0_1,215.5,3.501997835173378e-07
0_1,130.666666667,3.386189889775695e-07
0_1,62.0,0.0023561903194543915
0_1,76.0,0.0001250494145568
0_1,99.0,0.2376881111843449
0_1,182.0,0.1290333249664041
0_1,323.0,0.0833979528946671
0_1,472.0,0.0135262312664261
0_1,506.0,0.0035549256568658
0_1,529.0,0.0004600056334198734
0_1,534.0,0.0003276302366291
0_1,567.0,0.0004182239490854
0_1,441.0,0.0028437501100269
0_1,445.0,0.0012789294479039
0_1,561.0,0.0088737389891172
0_1,589.0,0.020522537348222205
0_1,575.0,0.1041019656380247
0_1,523.0,0.0421102690960111
0_1,350.0,0.0002458975030034
0_1,383.0,6.558086037768352e-05
0_1,358.0,1.7045153156761606e-05
0_1,327.0,0.0001150705962432
0_1,290.0,0.0009264186547302
0_1,21.3333333333,1.0615609208677048e-06
0_1,56.75,0.0001899548145597
0_1,68.75,0.0003856428197945
0_1,70.0,0.00012667270966666854
0_1,62.5,3.943140303765235e-05
0_1,49.75,8.385675281022755e-06
0_1,198.0,0.00041225982345715
0_1,128.5,0.000339597284710809
0_1,176.5,0.0012863170402122
0_1,177.5,7.278484577250411e-08
0_1,205.0,0.08890924096477491
0_1,189.5,1.0521964903486981e-07
0_1,201.0,3.194831573688929e-05
0_1,207.5,7.20834534429466e-08
0_1,175.0,1.3513412949398156e-05
0_1,192.0,0.1518997713511376
0_1,160.5,9.216348621925466e-06
0_1,279.0,8.829984403197263e-06
0_1,291.0,5.957516540774913e-06
0_1,263.0,5.827825916916856e-06
0_1,299.0,6.573787790384703e-06
0_1,285.0,0.24590516543316332
0_1,267.0,1.4656652729740995e-05
0_1,230.0,2.775909200794516e-05
0_1,216.0,0.26454034473716226
0_1,189.0,9.322904072943556e-05
0_1,187.0,0.0001512549621188
0_1,159.0,0.17249412906262354
0_1,148.0,0.0001235223799673
0_1,166.0,0.0001480682559722
0_1,106.0,0.000135348711245
0_1,19.3333333333,6.982048767221357e-08
0_1,24.75,0.0004215473337735169
0_1,31.5,2.9332851957606323e-06
0_1,23.75,7.975617122944444e-06
0_1,69.75,1.764632917921396e-05
0_1,78.25,5.862836445898631e-05
0_1,83.75,0.0012847560337388
0_1,94.25,0.0005200894878402
0_1,71.0,0.0001287154563796
0_1,35.5,1.4561920160172343e-06
0_1,36.25,0.007623142533023768
0_1,80.75,7.18656376631276e-05
0_1,57.5,3.1736460226228725e-05
0_1,93.6666666667,0.0021823641069153
0_1,133.666666667,0.3278549466064244
0_1,146.333333333,0.3839723783928601
0_1,49.0,0.024595870932306998
0_1,65.0,0.000845244438559
0_1,45.0,0.016151904141361164
0_1,53.75,0.0250624327821786
0_1,12.5,0.00024207718042305648
0_1,90.0,0.19408228131274274
0_1,227.0,0.4150882951014432
0_1,272.0,0.4686591182532201
0_1,265.0,0.478598204618683
0_1,162.0,0.5130256819680502
0_1,67.0,0.0058616297607773
0_1,45.3333333333,0.0020009335741444
0_1,11.25,0.0
0_1,47.5,1.1297377040541095e-06
0_1,48.5,1.472013088987233e-19
0_1,30.5,1.984090217309082e-19
0_1,212.0,0.5590185824893666
0_1,169.0,0.44269768195245196
0_1,79.5,0.1255053578279366
0_1,34.25,8.645220409114304e-06
0_1,26.3333333333,6.91350422671827e-05
0_1,20.5,0.0004630387506033
0_1,17.5,0.00020625259952736924
0_1,8.5,0.0002241284770602
0_1,26.6666666667,0.0022472654647867
0_1,49.6666666667,0.011056231003878455
0_1,45.6666666667,0.0194496383655927
0_1,27.3333333333,0.0028137372739584
0_1,52.6666666667,0.0009158870522838386
0_1,39.6666666667,1.6140142443952614e-05
0_1,14.3333333333,2.967634659430161e-06
0_1,179.666666667,0.5627724857918983
0_1,268.333333333,0.6610467073620497
0_1,55.0,0.00445318883854615
0_1,6.5,6.243934009783869e-05
0_1,39.5,1.7262763128848303e-05
0_1,38.25,1.4338412546531878e-05
0_1,61.25,8.171266994175082e-05
0_1,85.75,0.0002440702163495
0_1,98.75,0.0012068369700315
0_1,97.25,0.0015044706372429
0_1,66.75,0.0012411195034133
0_1,41.3333333333,0.0004545766198968
0_1,84.0,0.0001287657603983
0_1,108.666666667,0.0003331463380395
0_1,149.0,0.0015778377035273
0_1,163.666666667,0.0044953638614688
0_1,159.666666667,0.0075323019900867
0_1,190.333333333,0.0072259239057323
0_1,260.333333333,0.0096919103267688
0_1,304.0,0.0090763065804284
0_1,272.666666667,0.0285654395206704
0_1,233.0,0.0503604833471672
0_1,243.0,0.0281273061899399
0_1,253.0,0.0146961047622378
0_1,238.0,0.0124463918137033
0_1,227.333333333,0.004862781645684
0_1,250.0,0.0015866994220989
0_1,136.0,0.0005695159795883
0_1,58.0,0.0015476528150188667
0_1,94.6666666667,0.0402980904786504
0_1,118.333333333,0.1007028637635999
0_1,121.333333333,0.1555783638940252
0_1,321.666666667,0.25977611727103
0_1,367.666666667,0.3484380258753961
0_1,413.333333333,0.3501855301853969
0_1,362.333333333,0.4499345720078852
0_1,346.0,0.5010104249493126
