Modality,Annotation Size,TN
lpd_unet_0_1,72.6666666667,262045.71875
lpd_unet_0_1,72.0,262004.828125
lpd_unet_0_1,70.3333333333,262035.828125
lpd_unet_0_1,30.6666666667,262102.03125
lpd_unet_0_1,33.5,262068.3046875
lpd_unet_0_1,34.5,262077.1015625
lpd_unet_0_1,36.5,262048.9296875
lpd_unet_0_1,36.875,262054.640625
lpd_unet_0_1,58.25,261925.734375
lpd_unet_0_1,21.5,262082.578125
lpd_unet_0_1,28.3333333333,262089.8203125
lpd_unet_0_1,73.0,261925.5390625
lpd_unet_0_1,61.0,261993.578125
lpd_unet_0_1,42.0,261969.2890625
lpd_unet_0_1,43.5,262072.81770833334
lpd_unet_0_1,6.66666666667,262129.015625
lpd_unet_0_1,40.25,262100.921875
lpd_unet_0_1,37.25,262071.4375
lpd_unet_0_1,30.75,261939.75
lpd_unet_0_1,44.6666666667,261997.15625
lpd_unet_0_1,87.6666666667,261613.96875
lpd_unet_0_1,105.0,262008.09375
lpd_unet_0_1,23.5,262092.984375
lpd_unet_0_1,36.1666666667,262095.34375
lpd_unet_0_1,36.4,262119.234375
lpd_unet_0_1,32.6666666667,262004.7109375
lpd_unet_0_1,70.5,261776.03125
lpd_unet_0_1,150.5,261773.78125
lpd_unet_0_1,71.25,261739.453125
lpd_unet_0_1,44.0,261856.58072916666
lpd_unet_0_1,34.0,261883.83159722222
lpd_unet_0_1,91.0,260095.484375
lpd_unet_0_1,15.3333333333,262107.46875
lpd_unet_0_1,29.25,262078.984375
lpd_unet_0_1,33.25,262071.34375
lpd_unet_0_1,16.25,261917.4609375
lpd_unet_0_1,58.75,262118.90625
lpd_unet_0_1,86.25,262039.625
lpd_unet_0_1,146.25,262073.28125
lpd_unet_0_1,201.5,261868.265625
lpd_unet_0_1,225.0,261933.0625
lpd_unet_0_1,247.5,261801.84375
lpd_unet_0_1,257.0,261786.796875
lpd_unet_0_1,265.75,261776.015625
lpd_unet_0_1,278.0,261829.44140625
lpd_unet_0_1,199.25,261901.3125
lpd_unet_0_1,147.75,261933.203125
lpd_unet_0_1,73.6666666667,262010.71875
lpd_unet_0_1,39.0,262080.37109375
lpd_unet_0_1,32.3333333333,262072.78125
lpd_unet_0_1,9.5,262113.734375
lpd_unet_0_1,77.25,262047.65625
lpd_unet_0_1,93.5,262054.5
lpd_unet_0_1,30.0,262029.2611607143
lpd_unet_0_1,102.0,262031.3125
lpd_unet_0_1,160.666666667,261953.140625
lpd_unet_0_1,307.666666667,261829.234375
lpd_unet_0_1,385.666666667,261701.75
lpd_unet_0_1,437.333333333,261593.921875
lpd_unet_0_1,514.0,261623.8125
lpd_unet_0_1,568.333333333,261477.84375
lpd_unet_0_1,605.0,261513.4375
lpd_unet_0_1,687.666666667,261380.1875
lpd_unet_0_1,739.333333333,261341.71875
lpd_unet_0_1,736.0,261337.34375
lpd_unet_0_1,776.0,261318.390625
lpd_unet_0_1,740.333333333,261385.453125
lpd_unet_0_1,662.0,261450.75
lpd_unet_0_1,536.333333333,261610.359375
lpd_unet_0_1,393.0,261765.96875
lpd_unet_0_1,316.333333333,261828.15625
lpd_unet_0_1,265.333333333,261883.703125
lpd_unet_0_1,143.666666667,261894.90625
lpd_unet_0_1,59.5,262059.22916666666
lpd_unet_0_1,46.6666666667,262080.0625
lpd_unet_0_1,26.5,262099.6953125
lpd_unet_0_1,43.0,262070.31770833334
lpd_unet_0_1,66.0,262048.08854166666
lpd_unet_0_1,36.0,262081.23046875
lpd_unet_0_1,18.3333333333,262112.984375
lpd_unet_0_1,79.3333333333,262041.765625
lpd_unet_0_1,31.6666666667,262118.875
lpd_unet_0_1,92.3333333333,262036.71875
lpd_unet_0_1,128.0,262018.0859375
lpd_unet_0_1,154.333333333,261995.09375
lpd_unet_0_1,89.6666666667,261950.578125
lpd_unet_0_1,19.5,262102.67708333334
lpd_unet_0_1,143.0,261994.3125
lpd_unet_0_1,133.333333333,261996.71875
lpd_unet_0_1,85.6666666667,262064.96875
lpd_unet_0_1,63.6666666667,262081.53125
lpd_unet_0_1,51.6666666667,262093.359375
lpd_unet_0_1,75.0,262056.65625
lpd_unet_0_1,203.25,261860.90625
lpd_unet_0_1,188.25,261883.3125
lpd_unet_0_1,111.0,261985.828125
lpd_unet_0_1,16.3333333333,262071.2265625
lpd_unet_0_1,43.3333333333,261903.8828125
lpd_unet_0_1,134.75,261976.265625
lpd_unet_0_1,242.25,261818.015625
lpd_unet_0_1,316.5,261742.59375
lpd_unet_0_1,334.8,261623.625
lpd_unet_0_1,421.6,261657.78125
lpd_unet_0_1,646.5,261576.296875
lpd_unet_0_1,720.75,261495.5
lpd_unet_0_1,753.5,261412.84375
lpd_unet_0_1,826.5,261421.84375
lpd_unet_0_1,806.5,261156.1875
lpd_unet_0_1,736.5,261524.234375
lpd_unet_0_1,697.5,261560.1875
lpd_unet_0_1,659.25,261394.34375
lpd_unet_0_1,560.25,261492.734375
lpd_unet_0_1,466.25,261767.65625
lpd_unet_0_1,347.25,261758.375
lpd_unet_0_1,215.5,262003.453125
lpd_unet_0_1,130.666666667,262018.625
lpd_unet_0_1,62.0,262044.87890625
lpd_unet_0_1,76.0,262066.078125
lpd_unet_0_1,99.0,261906.28125
lpd_unet_0_1,182.0,261875.015625
lpd_unet_0_1,323.0,261789.71875
lpd_unet_0_1,472.0,261669.703125
lpd_unet_0_1,506.0,261636.34375
lpd_unet_0_1,529.0,260775.8203125
lpd_unet_0_1,534.0,261609.296875
lpd_unet_0_1,567.0,261575.828125
lpd_unet_0_1,441.0,261696.734375
lpd_unet_0_1,445.0,261692.609375
lpd_unet_0_1,561.0,261574.8125
lpd_unet_0_1,589.0,261467.734375
lpd_unet_0_1,575.0,261547.1875
lpd_unet_0_1,523.0,261618.640625
lpd_unet_0_1,350.0,261792.5
lpd_unet_0_1,383.0,261760.59375
lpd_unet_0_1,358.0,261785.46875
lpd_unet_0_1,327.0,261816.484375
lpd_unet_0_1,290.0,261853.4375
lpd_unet_0_1,21.3333333333,262128.328125
lpd_unet_0_1,56.75,262093.53125
lpd_unet_0_1,68.75,262063.53125
lpd_unet_0_1,70.0,262071.25
lpd_unet_0_1,62.5,262080.5625
lpd_unet_0_1,49.75,262096.515625
lpd_unet_0_1,198.0,261934.859375
lpd_unet_0_1,128.5,261911.3046875
lpd_unet_0_1,176.5,261816.765625
lpd_unet_0_1,177.5,262102.0
lpd_unet_0_1,205.0,261663.65625
lpd_unet_0_1,189.5,262103.75
lpd_unet_0_1,201.0,261788.25
lpd_unet_0_1,207.5,262107.5625
lpd_unet_0_1,175.0,261814.140625
lpd_unet_0_1,192.0,261836.109375
lpd_unet_0_1,160.5,261814.21875
lpd_unet_0_1,279.0,261847.40625
lpd_unet_0_1,291.0,261782.109375
lpd_unet_0_1,263.0,261786.1875
lpd_unet_0_1,299.0,261736.8125
lpd_unet_0_1,285.0,261648.078125
lpd_unet_0_1,267.0,261753.484375
lpd_unet_0_1,230.0,261766.3125
lpd_unet_0_1,216.0,261829.8125
lpd_unet_0_1,189.0,261706.53125
lpd_unet_0_1,187.0,261720.125
lpd_unet_0_1,159.0,261777.90625
lpd_unet_0_1,148.0,261790.890625
lpd_unet_0_1,166.0,261769.21875
lpd_unet_0_1,106.0,261880.703125
